Decision Tree,8,kenken_8x8_20250420_191338.json,1.0,0.014004945755004883,
Random Forest,7,kenken_7x7_20250429_170302.json,1.0,0.33986949920654297,
KMeans,9,kenken_9x9_20250426_213231.json,0.1111111111111111,0.34576416015625,
Decision Tree,3,1.0,,,
Decision Tree,4,1.0,,,
Decision Tree,5,1.0,,,
KMeans,3,0.4444444444444444,,,
KMeans,4,0.125,,,
KMeans,5,0.16,,,
Random Forest,3,1.0,,,
Random Forest,4,1.0,,,
Random Forest,5,1.0,,,
Random Forest,6,kenken_6x6_20250510_194314.json,1.0,0.48354601860046387,
KMeans,6,kenken_6x6_20250510_194314.json,0.16666666666666666,0.36859130859375,
Decision Tree,6,kenken_6x6_20250510_194314.json,1.0,0.004999399185180664,
Random Forest,6,kenken_6x6_20250510_194314.json,1.0,0.4155552387237549,
Decision Tree,8,kenken_8x8_20250427_184845.json,1.0,0.011999845504760742,
Random Forest,8,kenken_8x8_20250420_191338.json,1.0,0.6018404960632324,
Random Forest,7,kenken_7x7_20250429_170302.json,1.0,0.5392405986785889,
Decision Tree,7,kenken_7x7_20250420_191332.json,1.0,0.008002042770385742,
Random Forest,7,kenken_7x7_20250420_191332.json,1.0,0.6176526546478271,
KMeans,7,kenken_7x7_20250420_191332.json,0.12244897959183673,0.13013887405395508,
Decision Tree,3,kenken_3x3_20250420_164117.json,1.0,0.003998756408691406,
Random Forest,3,kenken_3x3_20250420_164117.json,1.0,0.23841094970703125,
KMeans,3,kenken_3x3_20250420_164117.json,0.2222222222222222,0.03900003433227539,
KMeans,4,kenken_4x4_20250420_191233.json,0.0625,0.05251789093017578,
Random Forest,4,kenken_4x4_20250420_191233.json,1.0,0.3631129264831543,
Decision Tree,4,kenken_4x4_20250420_191233.json,1.0,0.0040395259857177734,
Decision Tree,5,kenken_5x5_20250503_231523.json,1.0,0.008999347686767578,
Random Forest,5,kenken_5x5_20250503_231523.json,1.0,0.45818519592285156,
KMeans,5,kenken_5x5_20250503_231523.json,0.16,0.0920724868774414,
KMeans,6,kenken_6x6_20250503_215834.json,0.1388888888888889,0.14452862739562988,
Decision Tree,6,kenken_6x6_20250503_215834.json,1.0,0.01000070571899414,
Random Forest,6,kenken_6x6_20250503_215834.json,1.0,0.7060577869415283,
Random Forest,6,kenken_6x6_20250503_215834.json,1.0,0.7482869625091553,
Decision Tree,7,kenken_7x7_20250426_210211.json,1.0,0.014997482299804688,
Random Forest,7,kenken_7x7_20250426_210211.json,1.0,0.6822803020477295,
KMeans,7,kenken_7x7_20250426_210211.json,0.10204081632653061,0.23358488082885742,
Decision Tree,9,kenken_9x9_20250427_174547.json,1.0,0.02137136459350586,
Random Forest,9,kenken_9x9_20250427_174547.json,1.0,1.0949397087097168,
KMeans,9,kenken_9x9_20250427_174547.json,0.07407407407407407,0.31430816650390625,
KMeans,8,kenken_8x8_20250427_184845.json,0.171875,0.2277209758758545,
